spot_number,x_location,y_location,z_location,row,col
18,58.68592268,1860.7758549999999,11.995914625000001,18.0,0.0
19,48.868837105882356,1948.9366705882353,11.944449647058823,19.0,0.0
20,44.95706997333333,2062.1450733333336,11.886400033333333,20.0,0.0
21,64.296418,2135.8638923076924,11.883457461538462,21.0,0.0
22,40.35972071538462,2275.3338692307693,12.08463723076923,22.0,0.0
23,57.92948592222222,2355.510788888889,11.974384916666667,23.0,0.0
24,48.71207556,2449.87925,11.91492045,24.0,0.0
25,54.27892392352941,2553.4552529411767,12.01327005882353,25.0,0.0
26,26.929683930769233,2630.946523076923,12.074761230769232,26.0,0.0
27,59.65786426666667,2751.9424799999997,12.595859366666668,27.0,0.0
28,51.28306838461538,2845.6257384615383,12.490769961538462,28.0,0.0
29,65.21934,2970.7628416666666,12.449726083333333,29.0,0.0
30,58.747264,3064.1407692307694,12.465991961538462,30.0,0.0
31,57.37920627272727,3163.523209090909,12.616342750000001,31.0,0.0
32,66.72684585714286,3239.2906285714284,12.71233657142857,32.0,0.0
33,53.35211476470588,3367.005682352941,12.449687794117647,33.0,0.0
34,56.98691127272727,3465.4448636363636,12.514229,34.0,0.0
35,38.72168942857143,3553.0006714285714,12.650398142857142,35.0,0.0
36,70.20223488888888,3654.9793166666664,13.036293083333334,36.0,0.0
37,73.53058878571429,3749.4525857142858,12.987346392857143,37.0,0.0
38,66.48833166666667,3852.3918518518517,12.98252188888889,38.0,0.0
39,54.040655199999996,3955.511273333333,12.908893266666666,39.0,0.0
40,55.5898602,4060.691193333333,12.9481813,40.0,0.0
41,59.83376627777778,4164.668211111111,13.029789805555556,41.0,0.0
42,67.79856600000001,4259.87565,12.980647125,42.0,0.0
43,53.37607178571428,4362.470614285714,13.053611607142857,43.0,0.0
44,66.64174324999999,4433.238600000001,13.174411625,44.0,0.0
107,144.04240857142855,1867.42145,12.01617625,18.0,1.0
108,158.16393973684208,1961.430252631579,11.994653947368421,19.0,1.0
109,145.8199397894737,2048.8537789473685,12.009487,20.0,1.0
110,147.74494492307693,2170.7136615384616,11.98767576923077,21.0,1.0
111,145.95217756,2252.083868,12.01748994,22.0,1.0
112,156.79589133333332,2367.8297266666664,12.105717333333333,23.0,1.0
113,158.909455,2452.259123076923,12.026790076923078,24.0,1.0
114,160.35166875000002,2554.54238125,12.1383615,25.0,1.0
115,148.7461125,2646.3906714285717,12.181628142857145,26.0,1.0
116,163.14465692307692,2764.507469230769,12.700856961538461,27.0,1.0
117,170.25348538461537,2880.9018384615383,12.641586692307694,28.0,1.0
118,149.99182242857142,2965.751542857143,12.712877892857142,29.0,1.0
119,152.23819538461538,3043.8783384615385,12.559044461538463,30.0,1.0
120,157.22784691666666,3154.7268208333335,12.640720583333334,31.0,1.0
121,150.87847285714287,3259.126014285714,12.585465142857144,32.0,1.0
122,147.923131,3368.836928571429,12.631810642857143,33.0,1.0
123,156.5477619047619,3453.4517047619047,12.642606380952381,34.0,1.0
124,161.16024181818182,3562.3047454545454,12.862516590909092,35.0,1.0
125,152.48960468421055,3660.1141842105267,13.128085447368422,36.0,1.0
126,158.38213285714286,3765.7083333333335,13.242858928571428,37.0,1.0
127,162.27488695652173,3866.019660869565,13.064684304347825,38.0,1.0
128,149.69325154545456,3955.655859090909,13.087497318181818,39.0,1.0
129,148.46010576923078,4046.6868307692307,13.066633076923077,40.0,1.0
130,161.26683444444447,4158.151744444444,13.217445388888889,41.0,1.0
131,150.12067976470587,4255.629788235294,13.063143441176472,42.0,1.0
132,172.8216815,4347.902705,13.167608775,43.0,1.0
133,168.121655,4424.641183333333,13.2738335,44.0,1.0
196,257.2907333333333,1870.7000583333331,12.190336791666667,18.0,2.0
197,244.53531666666666,1950.7426333333333,12.11704080952381,19.0,2.0
198,250.35206266666668,2053.3425733333333,12.1045538,20.0,2.0
199,239.76938040000002,2164.981876,12.076987119999998,21.0,2.0
200,241.20595666666668,2256.930014285714,12.118941785714286,22.0,2.0
201,250.35163000000003,2368.7449785714284,12.147091785714284,23.0,2.0
202,254.7558494117647,2457.8582411764705,12.155223294117647,24.0,2.0
203,243.78217583333333,2558.6264666666666,12.220523791666666,25.0,2.0
204,261.4234935714286,2648.6237857142855,12.484464035714286,26.0,2.0
205,261.9800263636364,2755.0639772727272,12.826164499999999,27.0,2.0
206,246.90646733333332,2860.25414,12.7363351,28.0,2.0
207,245.30815040000002,2958.6041800000003,12.70981366,29.0,2.0
208,248.87812399999999,3059.9094,12.720284750000001,30.0,2.0
209,256.01312083333335,3156.6089875,12.751430541666666,31.0,2.0
210,252.37176095238095,3250.7412285714286,12.738784166666667,32.0,2.0
211,250.85334785714284,3343.4964857142854,13.193043482142857,33.0,2.0
212,249.05588714285713,3444.226842857143,12.736213392857142,34.0,2.0
213,265.53285454545454,3552.0970999999995,12.955470863636362,35.0,2.0
214,272.0031572727273,3637.454490909091,13.301525636363635,36.0,2.0
215,259.0693446428571,3751.176475,13.224724660714285,37.0,2.0
216,258.4546361538462,3861.7291230769233,13.219913692307692,38.0,2.0
217,249.91016264705885,3953.2722823529416,13.218112720588236,39.0,2.0
218,240.96348777777777,4053.995005555555,13.170298972222222,40.0,2.0
219,244.0702545,4162.03997,13.19331215,41.0,2.0
220,247.9053796,4247.3566120000005,13.235706780000001,42.0,2.0
221,255.36081214285716,4356.264042857143,13.312620785714286,43.0,2.0
222,252.48111133333336,4436.036306666666,13.5040219,44.0,2.0
285,342.5922491666667,1856.4041583333335,12.222230541666667,18.0,3.0
286,367.13477,1966.9915571428571,12.276796607142858,19.0,3.0
287,353.15086136363635,2053.2151863636363,12.267655681818182,20.0,3.0
288,351.80877933333335,2154.80253,12.23795935,21.0,3.0
289,351.71800315789477,2253.6509210526315,12.25258692105263,22.0,3.0
290,349.1752417647059,2360.7453470588234,12.304697882352942,23.0,3.0
291,344.96952066666665,2457.3520133333336,12.293383133333332,24.0,3.0
292,361.032846,2560.409185,12.3768197,25.0,3.0
293,354.6634624137931,2654.3904379310347,12.459893448275862,26.0,3.0
294,361.72947,2766.977977777778,12.935308138888889,27.0,3.0
295,360.5104804545454,2863.632881818182,12.965488477272727,28.0,3.0
296,352.64533545454543,2951.4606772727275,12.852337840909092,29.0,3.0
297,346.12088470588236,3053.7909029411767,12.896151544117647,30.0,3.0
298,355.18370608695653,3169.0170086956523,12.891694717391305,31.0,3.0
299,360.4897556521739,3245.099926086956,12.930669717391304,32.0,3.0
300,349.491685,3363.0652600000003,12.955447125000001,33.0,3.0
301,350.2686531818182,3448.2586727272724,12.916024499999999,34.0,3.0
302,369.6786813636364,3535.6218363636362,13.054608340909091,35.0,3.0
303,345.60431260869564,3647.698860869565,13.353726217391303,36.0,3.0
304,345.3368405,3753.67425,13.292141874999999,37.0,3.0
305,343.85376148148146,3854.295040740741,13.298784240740742,38.0,3.0
306,356.0641995652174,3969.653913043478,13.336951999999998,39.0,3.0
307,361.0718110714286,4051.8704464285715,13.389240410714285,40.0,3.0
308,359.5647003448276,4154.391631034483,13.440435310344828,41.0,3.0
309,358.05928944444446,4250.409977777777,13.374776833333334,42.0,3.0
310,355.30607190476195,4364.343357142857,13.451178,43.0,3.0
311,362.87035583333335,4422.916575,13.463738833333332,44.0,3.0
374,456.13857076923074,1865.0375,12.41174323076923,18.0,4.0
375,450.89176944444444,1953.537011111111,12.372450555555554,19.0,4.0
376,450.46502689655176,2055.7804965517244,12.35834798275862,20.0,4.0
377,442.1293679310345,2158.468979310345,12.349652120689655,21.0,4.0
378,463.38046304347824,2259.852139130435,12.42951193478261,22.0,4.0
379,450.669549,2342.64709,12.4733411,23.0,4.0
380,451.2555320689655,2451.129289655172,12.497602500000001,24.0,4.0
